公司代號,year_quarter,預測季均價,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,EPS,營收成長_年季平均(%),毛利率,營益率,業外稅前率,SHAP_營業收入,SHAP_營業毛利（毛損）,SHAP_營業利益（損失）,SHAP_營業外收入及支出,SHAP_稅前淨利（淨損）,SHAP_EPS,SHAP_營收成長_年季平均(%),SHAP_毛利率,SHAP_營益率,SHAP_業外稅前率
4766,2018Q4,,,,,,,,,,,,,,,,,,,,,
2415,2017Q2,,,,,,,,,,,,,,,,,,,,,
9958,2019Q3,,,,,,,,,,,,,,,,,,,,,
2505,2017Q4,,,,,,,,,,,,,,,,,,,,,
4763,2017Q2,,,,,,,,,,,,,,,,,,,,,
3056,2019Q4,,,,,,,,,,,,,,,,,,,,,
6552,2018Q1,,,,,,,,,,,,,,,,,,,,,
3406,2017Q3,,,,,,,,,,,,,,,,,,,,,
1560,2018Q2,,,,,,,,,,,,,,,,,,,,,
3380,2019Q3,,,,,,,,,,,,,,,,,,,,,
2534,2018Q1,,,,,,,,,,,,,,,,,,,,,
2239,2018Q4,,,,,,,,,,,,,,,,,,,,,
6202,2018Q1,,,,,,,,,,,,,,,,,,,,,
3432,2019Q1,,,,,,,,,,,,,,,,,,,,,
3045,2017Q3,,,,,,,,,,,,,,,,,,,,,
2910,2018Q4,,,,,,,,,,,,,,,,,,,,,
4934,2018Q2,,,,,,,,,,,,,,,,,,,,,
2495,2019Q4,,,,,,,,,,,,,,,,,,,,,
3019,2017Q4,,,,,,,,,,,,,,,,,,,,,
2904,2016Q4,97.3494,3264569.0,927932.0,599101.0,-93793.0,505308.0,4.21,6.462245699366542,0.2842,0.1835,-0.1856,-1.8419534971751272,-2.1933935768157244,2.291899104528129,0.10895709291100503,1.2216248579043896,3.990702765621245,3.9259308075532315,-12.834374001398682,9.379205665281042,4.577023382633924
2601,2018Q2,,,,,,,,,,,,,,,,,,,,,
5258,2017Q3,,,,,,,,,,,,,,,,,,,,,
2419,2019Q1,,,,,,,,,,,,,,,,,,,,,
8101,2019Q4,,,,,,,,,,,,,,,,,,,,,
3006,2018Q1,,,,,,,,,,,,,,,,,,,,,
3305,2017Q3,,,,,,,,,,,,,,,,,,,,,
1305,2019Q3,,,,,,,,,,,,,,,,,,,,,
4935,2017Q1,27.336378,24792463.0,5053567.0,1453008.0,161714.0,1614722.0,0.52,-16.869713796302612,0.2038,0.0586,0.1001,1.0122622349858283,3.1126998546347022,1.207122420333326,-1.6644838043674826,-1.7093800855055452,-41.466443331055345,-2.178496279027313,-16.888487778529523,-3.796142769884318,0.983960518911481
1465,2018Q1,,,,,,,,,,,,,,,,,,,,,
2608,2020Q1,,,,,,,,,,,,,,,,,,,,,
1809,2017Q3,,,,,,,,,,,,,,,,,,,,,
2353,2018Q3,,,,,,,,,,,,,,,,,,,,,
4560,2018Q2,,,,,,,,,,,,,,,,,,,,,
2615,2017Q3,,,,,,,,,,,,,,,,,,,,,
2707,2016Q3,16.61889,1464621.0,210922.0,-6264.0,-27224.0,-33488.0,0.1,6.120611423061653,0.144,-0.0043,0.8129,-2.554641902856529,-3.217246598228812,-0.272078403942287,-0.17441759139299393,3.282289366014302,-42.55465707078576,-0.1734226045757532,-16.720111873336137,-7.426756585780531,-2.293824758613482
1810,2018Q3,,,,,,,,,,,,,,,,,,,,,
2327,2019Q4,,,,,,,,,,,,,,,,,,,,,
4142,2016Q2,15.256701,7766696.0,993959.0,162167.0,117813.0,279980.0,0.38,-20.26228174015981,0.128,0.0209,0.4208,-2.1052178222313525,-2.731568592861295,-0.22192673694342374,-2.2920853126049043,2.684728142656386,-39.54641446467489,-2.94551486345008,-16.162808565311135,-7.83788445128128,-2.30836113342084
1454,2018Q2,,,,,,,,,,,,,,,,,,,,,
5515,2017Q1,40.296543,57652.0,26761.0,5661.0,99923.0,105584.0,1.25,-33.43256921702888,0.4642,0.0982,0.9464,-4.1250052486732605,-5.417846986874938,-1.7404398959502578,-2.390222540944815,3.2792504263296722,-27.063760739732533,-3.949996581058949,-2.605669168829918,-0.7689008294418455,-3.6446050368994474
2723,2018Q4,,,,,,,,,,,,,,,,,,,,,
2327,2017Q1,32.019184,5574733.0,773870.0,290911.0,344488.0,635399.0,1.6,-21.21365189359392,0.1388,0.0522,0.5422,-2.0311811097711323,-2.5391830842942,-0.2894553817436099,-2.5630479626730085,-2.119192895386368,-22.143542932160198,-3.2914497025124727,-16.384529958479106,-2.491656120773405,-2.8513299189601096
6226,2018Q2,,,,,,,,,,,,,,,,,,,,,
8499,2018Q1,,,,,,,,,,,,,,,,,,,,,
3003,2017Q3,,,,,,,,,,,,,,,,,,,,,
1541,2019Q4,,,,,,,,,,,,,,,,,,,,,
2706,2017Q3,,,,,,,,,,,,,,,,,,,,,
3679,2018Q3,,,,,,,,,,,,,,,,,,,,,
2642,2016Q3,53.815804,24983824.0,4604893.0,1635944.0,509418.0,2145362.0,2.72,2.780220862851872,0.1843,0.0655,0.2375,1.30456067353487,3.652322221957147,0.2289080950245261,-2.4731212370842695,-1.87092564817518,-8.940992656070739,-1.0096464698389171,-17.948255276158452,-4.036376640256495,-3.8144288409594447
2543,2016Q2,21.577702,1799400.0,375008.0,-48646.0,145265.0,96619.0,0.02,24.68634955144764,0.2084,-0.027,1.5035,-2.329099979326129,-3.1481810814887283,-0.24842238392680882,-2.244161315970123,3.3563212502002715,-42.03206480039749,4.162481217589229,-14.296592439226806,-7.581085910312831,-2.7852553077135234
3055,2019Q4,,,,,,,,,,,,,,,,,,,,,
1708,2017Q1,19.237955,973525.0,234546.0,66582.0,-151509.0,-84927.0,-1.37,-9.95373835973291,0.2409,0.0684,1.784,-2.224160717539489,-3.2073582942038774,-0.44475586619228125,0.3874076325446367,3.167437220029533,-42.86679608128965,-1.851789125595242,-14.64952219001949,-4.4194438669271765,-3.3768227500468493
2603,2018Q1,,,,,,,,,,,,,,,,,,,,,
2505,2018Q1,,,,,,,,,,,,,,,,,,,,,
1446,2018Q2,,,,,,,,,,,,,,,,,,,,,
9935,2019Q4,,,,,,,,,,,,,,,,,,,,,
1305,2018Q4,,,,,,,,,,,,,,,,,,,,,
1737,2018Q4,,,,,,,,,,,,,,,,,,,,,
1304,2018Q4,,,,,,,,,,,,,,,,,,,,,
6288,2019Q4,,,,,,,,,,,,,,,,,,,,,
4999,2017Q1,69.72898,413182184.0,64310793.0,23526404.0,-164354.0,23362050.0,3.96,4.973719875382467,0.1556,0.0569,-0.007,-2.157107120230794,64.15370575409382,-29.020270424969496,-0.3823824914172292,-29.829165934445335,4.855622284449637,2.471337856836617,-23.92430615417659,-5.033995196791365,-0.1282884208858013
2511,2018Q1,,,,,,,,,,,,,,,,,,,,,
1535,2017Q1,21.380884,1000927.0,144835.0,-21856.0,234262.0,212406.0,0.62,20.3983875122712,0.1447,-0.0218,1.1029,-2.4043417149037123,-3.1091599211841823,-0.27292854111641646,-2.342784864716232,3.6305067558586597,-39.07187985504512,3.7931080936454236,-16.91144542042166,-7.60936282094568,-3.044589771712199
6202,2018Q4,,,,,,,,,,,,,,,,,,,,,
2481,2017Q4,,,,,,,,,,,,,,,,,,,,,
1603,2018Q3,,,,,,,,,,,,,,,,,,,,,
1472,2019Q1,,,,,,,,,,,,,,,,,,,,,
6698,2019Q4,,,,,,,,,,,,,,,,,,,,,
8213,2018Q1,,,,,,,,,,,,,,,,,,,,,
2360,2020Q1,,,,,,,,,,,,,,,,,,,,,
2331,2018Q3,,,,,,,,,,,,,,,,,,,,,
6641,2019Q3,,,,,,,,,,,,,,,,,,,,,
2535,2017Q1,69.41349,4324684.0,1378595.0,595025.0,187046.0,782071.0,4.24,-0.7472736960194489,0.3188,0.1376,0.2392,-2.4154814409464596,-2.1178241850435735,2.3545122392848135,-2.3959809295088053,-1.4199544127099215,8.328156149983407,-2.9938982363976536,-11.169199603199958,-3.4747702852915974,-4.0058288983255625
2707,2016Q4,-3.496409,250767.0,185557.0,162485.0,352090.0,514575.0,0.95,2.513547778672809,0.74,0.648,0.6842,-58.9044258607924,-5.006842210553587,-1.2947306603193283,-12.351246071308852,-2.859863369744271,-50.62036492698826,-4.705191560611129,17.7805318274349,31.21496473548934,-5.473006319506094
2369,2019Q4,,,,,,,,,,,,,,,,,,,,,
4155,2017Q4,,,,,,,,,,,,,,,,,,,,,
9933,2019Q2,,,,,,,,,,,,,,,,,,,,,
2425,2018Q4,,,,,,,,,,,,,,,,,,,,,
2908,2019Q1,,,,,,,,,,,,,,,,,,,,,
2204,2017Q1,34.405064,1358514.0,557742.0,193643.0,21933.0,215576.0,0.92,2.513547778672809,0.4106,0.1425,0.1017,-2.719424253664911,-3.5348572834953664,-2.287585802040994,-1.2558121254295112,3.0837269702740016,-37.3774226224795,-3.4047862907499074,-6.39758396230638,-1.368347800942138,0.9434170940518379
2534,2018Q2,,,,,,,,,,,,,,,,,,,,,
6189,2019Q2,,,,,,,,,,,,,,,,,,,,,
8105,2018Q3,,,,,,,,,,,,,,,,,,,,,
1455,2017Q1,42.31655,38835316.0,4963333.0,1286391.0,644341.0,1930732.0,2.03,2.9423262665599874,0.1278,0.0331,0.3337,2.210156658142805,2.226067945919931,2.615149881131947,-2.7600199320167302,-2.1261540411785247,-19.007513414938003,-1.0272162002697587,-18.983267682380973,-5.940072776982561,-3.614327205354348
1473,2017Q3,,,,,,,,,,,,,,,,,,,,,
5215,2019Q4,,,,,,,,,,,,,,,,,,,,,
1217,2016Q3,21.869404,1955804.0,177594.0,95981.0,3137.0,99118.0,0.23,18.51194900735986,0.0908,0.0491,0.0316,-2.3227554980292915,-3.097426328063011,-0.17504749312996865,-0.4712404447793961,3.2270236121676863,-44.35209023589734,2.6989707730896773,-17.848796509988606,-5.073607574310154,0.5606195759028196
2704,2016Q2,15.828002,962694.0,91919.0,18155.0,3319.0,21474.0,0.2,-3.178310063191548,0.0955,0.0189,0.1546,-2.607121244929731,-3.2271190347522496,-0.2577734638005495,-0.5791057027876377,3.261424691863358,-43.008442354276774,-1.566331763509661,-16.928794431053102,-7.913963239882142,-0.06852641404606402
1714,2017Q1,360.32962,9619172.0,2823243.0,1957841.0,64358.0,2022199.0,19.58,18.9392955731847,0.2935,0.2035,0.0318,-1.7681219091266394,20.89067597463727,1.547230786010623,-5.8980226233229045,-9.25522860582918,260.99650227664506,9.26597534880042,-15.573919331841171,6.80272695556283,4.598313271328807
9908,2017Q1,137.72865,10629533.0,4178798.0,2318635.0,36854.0,2355489.0,5.0,2.513547778672809,0.3931,0.2181,0.0156,3.2063208654522897,11.154729791432619,-0.030843646079301835,-1.365871254876256,0.09083185236901045,37.59641666801647,-4.9072594385966655,3.2635112991929054,-0.28474815748631954,0.28184218272566797
1256,2018Q2,,,,,,,,,,,,,,,,,,,,,
1339,2020Q1,,,,,,,,,,,,,,,,,,,,,
6224,2018Q2,,,,,,,,,,,,,,,,,,,,,
1304,2018Q3,,,,,,,,,,,,,,,,,,,,,
2388,2018Q2,,,,,,,,,,,,,,,,,,,,,
3037,2018Q1,,,,,,,,,,,,,,,,,,,,,
2340,2018Q2,,,,,,,,,,,,,,,,,,,,,
2344,2018Q3,,,,,,,,,,,,,,,,,,,,,
2390,2016Q4,20.292875,3927.0,2022.0,-13139.0,1342.0,-11797.0,-0.04,-98.76816662780756,0.5149,-3.3458,-0.1138,-3.65863267403096,-4.503945491686463,-2.618543441556394,0.03157247800379991,3.6053524703904984,-42.97644544240087,-6.702759302277118,-3.1930080496147273,-9.818908831216396,1.404442353695631
2371,2019Q2,,,,,,,,,,,,,,,,,,,,,
1532,2016Q3,70.6791,6642359.0,2377125.0,1744912.0,-23268.0,1721644.0,2.71,58.25690751909617,0.3579,0.2627,-0.0135,-3.2790791239775716,-1.0789489997178316,-5.708033851608634,-0.24078797165304422,-2.0405051133781673,-5.0321727683953945,10.268675860073417,-6.8698244880139825,-5.196538651622832,1.1325616449862719
3703,2017Q3,,,,,,,,,,,,,,,,,,,,,
1539,2016Q4,27.970852,421695.0,225611.0,7550.0,-1227.0,6323.0,0.04,14.922633097298714,0.535,0.0179,-0.1941,-2.3068712985143067,-3.4995854963362216,-2.504423078559339,0.2426923124305904,3.2450477458164095,-48.78742229897995,3.071844877470285,-2.5838667100295423,-9.220036597140133,1.5897113056480885
9941,2017Q1,99.27948,5744804.0,1386499.0,623298.0,165136.0,788434.0,6.16,3.7393063144471377,0.2413,0.1085,0.2094,-2.4455949123948812,-1.1824564034491778,2.328101158551872,-2.6259154421836137,0.07418166032060981,33.821356826704,0.5322656329721213,-15.412464070469142,-1.8114372639451175,-2.7223012267798183
3002,2018Q3,,,,,,,,,,,,,,,,,,,,,
1528,2018Q2,,,,,,,,,,,,,,,,,,,,,
1443,2017Q3,,,,,,,,,,,,,,,,,,,,,
4545,2016Q4,22.193216,531512.0,269139.0,-66553.0,8873.0,-57680.0,-0.22,5.485301281477725,0.5064,-0.1252,-0.1538,-2.5026781586930156,-3.761595273539424,-2.640527748130262,-0.6242995839565992,3.0020886562392115,-47.26411311073229,-0.6689903423190117,-3.651832450143993,-9.798067381568252,1.3794755111634731
1324,2018Q1,,,,,,,,,,,,,,,,,,,,,
4943,2017Q1,14.74222,2639617.0,356011.0,-29703.0,45358.0,15655.0,0.02,2.513547778672809,0.1349,-0.0113,2.8973,-2.7297132605686785,-3.135382514819503,-0.21216466214507818,-0.631077245771885,3.14670859400183,-41.954434491433204,-2.045914082117379,-16.331566171981393,-7.325806382875889,-2.762186904111877
2727,2017Q3,,,,,,,,,,,,,,,,,,,,,
1108,2019Q4,,,,,,,,,,,,,,,,,,,,,
2349,2018Q3,,,,,,,,,,,,,,,,,,,,,
5706,2018Q2,,,,,,,,,,,,,,,,,,,,,
1210,2018Q2,,,,,,,,,,,,,,,,,,,,,
1713,2018Q1,,,,,,,,,,,,,,,,,,,,,
2438,2016Q3,23.135386,365963.0,72618.0,26058.0,-18378.0,7680.0,0.08,-74.06786178365907,0.1984,0.0712,-2.393,-2.7807748599722983,-2.8141580752283333,-0.0069554557278752325,-0.1860142992436886,3.6006429024413227,-48.01995815040544,-5.601867968235165,-14.712211278416216,-2.1940942234918475,7.1270245651900765
6674,2019Q2,,,,,,,,,,,,,,,,,,,,,
3533,2017Q2,,,,,,,,,,,,,,,,,,,,,
5388,2018Q1,,,,,,,,,,,,,,,,,,,,,
8481,2019Q2,,,,,,,,,,,,,,,,,,,,,
1303,2019Q2,,,,,,,,,,,,,,,,,,,,,
1609,2017Q4,,,,,,,,,,,,,,,,,,,,,
3454,2019Q2,,,,,,,,,,,,,,,,,,,,,
1611,2018Q3,,,,,,,,,,,,,,,,,,,,,
2722,2017Q3,,,,,,,,,,,,,,,,,,,,,
2360,2017Q4,,,,,,,,,,,,,,,,,,,,,
