公司代號,公司名稱,營業利益率,業外%
1533,車王電,0.1007042520162053,7.817995385798513
1535,中宇,0.0541486220194571,-2.840341182123979
1536,和大,0.2302787485144787,-0.4586929624495028
1537,廣隆,0.1755948022362471,-0.3234968177696792
1538,正峰新,-0.0745680227471566,2.0806720025358585
1539,巨庭,0.0931902120717781,3.053754781558285
1540,喬福,0.1996201329534662,2.078541323071285
1541,錩泰,0.0898422479370424,24.569235588972436
1558,伸興,0.0683923453822686,1.7839909569394892
1560,中砂,0.1923017524096768,-0.1601955582838226
1568,倉佑,0.0831671958453321,-0.8083056833993364
1582,信錦,0.138127766065699,0.0847614008826489
1583,程泰,,
1589,永冠-KY,0.0748947500487913,-0.1753188510424186
1590,亞德客-KY,0.2914411467739871,0.0202205882352941
1592,英瑞-KY,,
1598,岱宇,0.0618751068674124,1.8521304811243584
