公司代號,公司名稱,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,基本每股盈餘（元）,毛利率,營益率,業外稅前率,年季
4160,訊聯基因,506636.0,218264.0,48910,14532,63442,1.93,0.4308,0.0965,0.2291,2024Q3
4161,聿新科,637527.0,191787.0,57454,17315,74769,1.27,0.3008,0.0901,0.2316,2024Q3
4162,智擎,644597.0,609326.0,327585,63270,390855,2.32,0.9453,0.5082,0.1619,2024Q3
4163,鐿鈦,1797345.0,740320.0,192958,34892,227850,3.92,0.4119,0.1074,0.1531,2024Q3
4167,松瑞藥,940387.0,264792.0,101656,30973,132629,0.43,0.2816,0.1081,0.2335,2024Q3
4168,醣聯,11523.0,6392.0,-181887,15029,-166858,-1.54,0.5547,-15.7847,-0.0901,2024Q3
4171,瑞基,151523.0,81081.0,-106780,19870,-86910,-1.45,0.5351,-0.7047,-0.2286,2024Q3
4173,久裕,956616.0,189727.0,65180,19528,84708,0.93,0.1983,0.0681,0.2305,2024Q3
4174,浩鼎,51130.0,-55167.0,-1649796,-81898,-1731694,-6.9,-1.079,-32.2667,0.0473,2024Q3
4175,杏一,5686536.0,1734981.0,44625,-24481,20144,0.24,0.3051,0.0078,-1.2153,2024Q3
