公司代號,公司名稱,year_quarter,產業別,實際股價,預測股價,誤差,誤差率(%)
3703,欣陸,2017Q3,建材營造,12.8,32.034999999999975,19.234999999999975,150.27
6226,光鼎,2018Q2,光電業,8.98,22.39953333333332,13.41953333333332,149.44
1416,廣豐,2017Q4,其他,15.1,37.32808333333333,22.22808333333333,147.21
2015,豐興,2017Q4,鋼鐵工業,54.03,133.4836166666666,79.45361666666659,147.05
1455,集盛,2017Q1,紡織纖維,10.090000000000002,24.833833333333345,14.743833333333344,146.12
2428,興勤,2017Q2,電子零組件業,86.48,212.33730000000003,125.85730000000002,145.53
2017,官田鋼,2018Q2,鋼鐵工業,8.13,19.878808333333346,11.748808333333345,144.51
1101,台泥,2018Q2,水泥工業,39.7175,96.61206666666664,56.894566666666634,143.25
1339,昭輝,2017Q4,汽車工業,39.48,95.79930833333331,56.31930833333332,142.65
3032,偉訓,2018Q2,電子零組件業,27.88,67.52180833333333,39.64180833333333,142.19
1432,大魯閣,2018Q4,運動休閒,7.18,17.385824999999993,10.205824999999994,142.14
1466,聚隆,2018Q2,紡織纖維,9.5,23.00034166666666,13.50034166666666,142.11
2505,國揚,2017Q4,建材營造,14.5325,35.17363333333335,20.64113333333335,142.03
2380,虹光,2018Q1,電腦及週邊設備業,6.0375000000000005,14.585716666666656,8.548216666666654,141.59
1220,台榮,2016Q3,,10.8,25.899291666666677,15.099291666666677,139.81
2504,國產,2019Q4,建材營造,12.535,30.047299999999986,17.512299999999986,139.71
3056,富華新,2019Q3,建材營造,23.86,57.142241666666656,33.28224166666666,139.49
1217,愛之味,2016Q3,,7.595,18.173308333333345,10.578308333333347,139.28
1447,力鵬,2019Q2,紡織纖維,5.48,13.106008333333333,7.626008333333333,139.16
2491,吉祥全,2017Q1,光電業,7.095,16.941391666666668,9.846391666666669,138.78
2540,愛山林,2020Q1,建材營造,20.55,48.83248333333333,28.282483333333328,137.63
2609,陽明,2018Q4,航運業,8.025,19.066591666666664,11.041591666666664,137.59
2904,匯僑,2016Q4,,20.08,47.66165833333334,27.581658333333344,137.36
2030,彰源,2017Q3,鋼鐵工業,16.27,38.49140000000001,22.221400000000013,136.58
3481,群創,2018Q3,光電業,7.33,17.292450000000006,9.962450000000006,135.91
1436,華友聯,2017Q4,建材營造,39.2025,92.36025,53.15774999999999,135.6
1108,幸福,2018Q3,水泥工業,6.91,16.266049999999996,9.356049999999996,135.4
3593,力銘,2019Q4,電子零組件業,7.725,18.161933333333337,10.436933333333338,135.11
2367,燿華,2019Q3,電子零組件業,33.56,78.89871666666667,45.33871666666667,135.1
2017,官田鋼,2019Q1,鋼鐵工業,6.69,15.709775,9.019775,134.82
2610,華航,2019Q2,航運業,6.9,16.127625000000002,9.227625000000002,133.73
3024,憶聲,2017Q3,光電業,7.27,16.977483333333335,9.707483333333336,133.53
1459,聯發,2018Q4,紡織纖維,7.03,16.379741666666664,9.349741666666663,133.0
1710,東聯,2018Q4,化學工業,22.22,51.70326666666663,29.48326666666663,132.69
1402,遠東新,2018Q2,紡織纖維,29.07,67.26604999999999,38.19604999999999,131.39
2104,國際中橡,2017Q2,橡膠工業,31.22,72.19700000000002,40.97700000000002,131.25
1108,幸福,2018Q2,水泥工業,7.44,17.19576666666667,9.75576666666667,131.13
5608,四維航,2019Q1,航運業,8.99,20.714083333333328,11.724083333333327,130.41
1558,伸興,2016Q4,,143.14333333333337,328.0932999999998,184.9499666666664,129.21
3167,大量,2017Q3,電機機械,46.57,106.70308333333337,60.13308333333337,129.12
2030,彰源,2019Q2,鋼鐵工業,9.73,22.292641666666658,12.562641666666657,129.11
2535,達欣工,2018Q2,建材營造,21.745,49.55214166666668,27.807141666666677,127.88
1604,聲寶,2016Q4,,17.03,38.78367499999999,21.753674999999987,127.74
3056,富華新,2019Q4,建材營造,28.89,65.75545,36.865449999999996,127.61
3266,昇陽,2018Q2,建材營造,12.32,28.00335000000002,15.683350000000019,127.3
2603,長榮,2017Q4,航運業,12.58,28.557566666666663,15.977566666666663,127.01
3308,聯德,2016Q3,,7.970000000000001,18.08755,10.11755,126.95
1810,和成,2018Q3,玻璃陶瓷,7.88,17.814224999999993,9.934224999999994,126.07
2538,基泰,2017Q1,建材營造,10.16,22.955841666666675,12.795841666666675,125.94
3032,偉訓,2018Q3,電子零組件業,27.19,61.43444166666665,34.244441666666646,125.94
1540,喬福,2019Q2,電機機械,19.2025,43.30851666666666,24.10601666666666,125.54
4532,瑞智,2019Q2,電機機械,16.61,37.27903333333334,20.66903333333334,124.44
1568,倉佑,2017Q4,汽車工業,20.53,45.90296666666671,25.372966666666706,123.59
2023,燁輝,2017Q3,鋼鐵工業,10.76,23.91724166666666,13.157241666666659,122.28
8201,無敵,2019Q2,其他電子業,7.46,16.566374999999994,9.106374999999993,122.07
3038,全台,2016Q2,,11.57,25.553441666666675,13.983441666666675,120.86
2498,宏達電,2018Q3,通信網路業,36.49,80.42376666666661,43.93376666666661,120.4
1527,鑽全,2018Q3,電機機械,57.41,126.031175,68.62117500000001,119.53
2605,新興,2017Q4,航運業,15.46,33.90773333333334,18.44773333333334,119.33
2239,英利-KY,2018Q4,汽車工業,100.06,219.40429999999992,119.34429999999992,119.27
3052,夆典,2016Q2,,8.69,19.04114166666665,10.351141666666651,119.12
1528,恩德,2017Q3,電機機械,11.97,26.12895000000001,14.15895000000001,118.29
3011,今皓,2018Q3,電子零組件業,8.139999999999999,17.766233333333332,9.626233333333333,118.26
1532,勤美,2016Q3,,31.215,68.05526666666663,36.84026666666662,118.02
2104,國際中橡,2017Q3,橡膠工業,43.37,94.03003333333336,50.66003333333337,116.81
1423,利華,2017Q4,紡織纖維,8.36,18.10760833333333,9.747608333333332,116.6
2540,愛山林,2018Q3,建材營造,25.13,54.19061666666667,29.06061666666667,115.64
1714,和桐,2018Q1,化學工業,6.66,14.358266666666664,7.6982666666666635,115.59
8110,華東,2017Q4,半導體業,14.685,31.641758333333325,16.956758333333326,115.47
5484,慧友,2019Q4,光電業,8.280000000000001,17.831733333333336,9.551733333333335,115.36
2423,固緯,2017Q4,其他電子業,23.49,50.51211666666665,27.02211666666665,115.04
1316,上曜,2018Q4,建材營造,12.97,27.87520000000001,14.90520000000001,114.92
2104,國際中橡,2019Q2,橡膠工業,21.18,45.47283333333331,24.292833333333313,114.7
3515,華擎,2019Q4,電腦及週邊設備業,78.09,167.5204833333334,89.4304833333334,114.52
2423,固緯,2017Q3,其他電子業,24.155,51.75298333333333,27.59798333333333,114.25
2534,宏盛,2018Q2,建材營造,31.4075,67.21293333333332,35.805433333333326,114.0
1438,三地開發,2017Q1,建材營造,5.0,10.675141666666669,5.6751416666666685,113.5
2471,資通,2019Q2,資訊服務業,17.82,38.04150833333335,20.221508333333347,113.48
1514,亞力,2017Q2,電機機械,10.335,21.975900000000006,11.640900000000006,112.64
1725,元禎,2017Q4,化學工業,14.87,31.613016666666663,16.743016666666662,112.6
1466,聚隆,2018Q4,紡織纖維,7.96,16.913474999999995,8.953474999999994,112.48
2434,統懋,2016Q2,,5.92,12.538124999999996,6.618124999999996,111.79
2539,櫻花建,2017Q3,建材營造,28.4775,60.208133333333315,31.730633333333316,111.42
1805,寶徠,2019Q1,建材營造,9.08,19.14929999999999,10.06929999999999,110.9
1456,怡華,2017Q3,建材營造,9.16,19.306266666666662,10.146266666666662,110.77
1539,巨庭,2016Q3,,24.89,52.34826666666667,27.458266666666667,110.32
1339,昭輝,2019Q3,汽車工業,44.97,94.48514166666668,49.51514166666668,110.11
5515,建國,2017Q1,建材營造,9.235,19.40018333333332,10.16518333333332,110.07
1709,和益,2017Q2,化學工業,18.7625,39.41375000000002,20.651250000000022,110.07
5607,遠雄港,2018Q1,航運業,19.47,40.831558333333334,21.361558333333335,109.72
3032,偉訓,2019Q3,電子零組件業,22.96,48.13054166666669,25.170541666666686,109.63
2457,飛宏,2019Q2,電子零組件業,6.29,13.150591666666669,6.860591666666669,109.07
6133,金橋,2016Q2,,9.24,19.314608333333332,10.074608333333332,109.03
1463,強盛新,2018Q3,紡織纖維,15.87,33.09194999999999,17.221949999999993,108.52
2302,麗正,2018Q3,半導體業,8.56,17.813599999999997,9.253599999999997,108.1
3090,日電貿,2018Q2,電子零組件業,68.0175,141.45237499999996,73.43487499999996,107.96
6117,迎廣,2019Q3,電腦及週邊設備業,13.553333333333333,28.169708333333325,14.616374999999993,107.84
1626,艾美特-KY,2019Q3,電器電纜,27.66333333333333,57.43912500000001,29.77579166666668,107.64
1735,日勝化,2016Q2,,13.64,28.136725000000002,14.496725000000001,106.28
2482,連宇,2017Q2,其他電子業,13.015,26.83063333333335,13.815633333333349,106.15
1762,中化生,2018Q3,生技醫療業,24.8825,51.265966666666685,26.383466666666685,106.03
1235,興泰,2017Q4,食品工業,36.74,75.56878333333327,38.82878333333327,105.69
1541,錩泰,2019Q4,電機機械,32.9,67.65193333333335,34.75193333333335,105.63
2511,太子,2018Q1,建材營造,11.1525,22.919049999999984,11.766549999999985,105.51
1463,強盛新,2018Q1,紡織纖維,13.03,26.77414166666668,13.74414166666668,105.48
1514,亞力,2016Q3,,10.37,21.30684166666667,10.936841666666671,105.47
2038,海光,2018Q4,鋼鐵工業,7.38,15.160733333333331,7.780733333333331,105.43
2472,立隆電,2018Q4,電子零組件業,44.1,90.59264166666661,46.49264166666661,105.43
2915,潤泰全,2019Q2,貿易百貨,66.25,135.88900833333332,69.63900833333332,105.12
2323,中環,2017Q1,光電業,4.065,8.328908333333338,4.263908333333338,104.89
9939,宏全,2018Q2,其他,49.8,101.81164166666667,52.01164166666668,104.44
4155,訊映,2017Q4,生技醫療業,29.36,59.797158333333336,30.437158333333336,103.67
1528,恩德,2018Q2,電機機械,10.36,21.062883333333325,10.702883333333325,103.31
8105,凌巨,2018Q3,光電業,10.58,21.505675,10.925675,103.27
6288,聯嘉,2019Q4,汽車工業,26.54,53.86608333333333,27.32608333333333,102.96
2414,精技,2018Q3,電子通路業,21.25,43.03837499999999,21.788374999999988,102.53
3021,鴻名,2017Q3,電子零組件業,15.7825,31.952050000000014,16.169550000000015,102.45
2107,厚生,2017Q2,橡膠工業,15.12,30.586408333333335,15.466408333333336,102.29
2642,宅配通,2019Q4,航運業,28.305,57.207816666666666,28.902816666666666,102.11
1340,勝悅-KY,2016Q3,,51.71,104.43263333333333,52.72263333333333,101.96
2427,三商電,2018Q4,資訊服務業,10.486666666666666,21.162000000000006,10.67533333333334,101.8
2488,漢平,2019Q2,其他電子業,27.46,55.37811666666666,27.918116666666663,101.67
1416,廣豐,2017Q2,其他,16.16,32.58216666666665,16.42216666666665,101.62
3209,全科,2019Q3,電子通路業,18.53,37.34266666666665,18.81266666666665,101.53
1442,名軒,2017Q2,建材營造,19.9025,40.099216666666685,20.196716666666685,101.48
1108,幸福,2019Q4,水泥工業,7.385,14.848941666666674,7.463941666666674,101.07
1529,樂事綠能,2019Q4,電機機械,15.96,31.994200000000006,16.034200000000006,100.46
1612,宏泰,2018Q2,電器電纜,10.27,20.570858333333334,10.300858333333334,100.3
2460,建通,2017Q1,電子零組件業,12.12,24.25680000000001,12.13680000000001,100.14
1455,集盛,2018Q3,紡織纖維,8.88,17.74343333333335,8.863433333333349,99.81
3231,緯創,2019Q3,電腦及週邊設備業,25.41,50.73020000000004,25.32020000000004,99.65
2449,京元電子,2019Q4,半導體業,34.67,69.20901666666668,34.53901666666668,99.62
8011,台通,2017Q2,通信網路業,19.67,39.26300833333335,19.59300833333335,99.61
2109,華豐,2016Q3,,10.92,21.76364166666666,10.843641666666661,99.3
5522,遠雄,2018Q4,建材營造,34.7,68.913625,34.21362499999999,98.6
1714,和桐,2018Q3,化學工業,7.45,14.78253333333334,7.33253333333334,98.42
1609,大亞,2017Q4,電器電纜,13.68,27.116916666666672,13.436916666666672,98.22
6164,華興,2018Q2,光電業,8.9,17.619616666666673,8.719616666666672,97.97
2027,大成鋼,2017Q3,鋼鐵工業,18.8,37.10974999999999,18.30974999999999,97.39
8940,新天地,2018Q3,觀光餐旅,12.37,24.34353333333333,11.97353333333333,96.79
1459,聯發,2016Q2,,8.91,17.526441666666656,8.616441666666656,96.71
2495,普安,2019Q4,電腦及週邊設備業,12.37,24.27850833333333,11.908508333333332,96.27
2431,聯昌,2017Q4,電子零組件業,10.86,21.259191666666656,10.399191666666656,95.76
5215,科嘉-KY,2019Q4,電腦及週邊設備業,59.370000000000005,116.03492500000004,56.66492500000004,95.44
2511,太子,2019Q2,建材營造,11.83,23.068066666666663,11.238066666666663,95.0
9919,康那香,2019Q1,其他,10.43,20.31570833333333,9.88570833333333,94.78
8110,華東,2018Q2,半導體業,11.25,21.853216666666672,10.603216666666672,94.25
6226,光鼎,2017Q4,光電業,10.0275,19.468708333333332,9.441208333333332,94.15
6477,安集,2017Q3,光電業,22.53,43.73354166666665,21.203541666666652,94.11
6525,捷敏-KY,2017Q4,半導體業,81.8,158.77651666666662,76.97651666666663,94.1
