公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
6269,台郡FLEXIUM,107/01/29,80.02,2018-01-29,2018Q1
6282,康舒AcBel,107/01/26,19.97,2018-01-26,2018Q1
6412,群光電能Chicony Power,107/03/07,43.05,2018-03-07,2018Q1
6449,鈺邦APAQ,107/05/30,31.67,2018-05-30,2018Q2
8039,台虹TAIFLEX,107/01/02,35.59,2018-01-02,2018Q1
8046,南電N.P.C.,107/12/11,36.33,2018-12-11,2018Q4
8103,瀚荃CviLux,107/03/08,25.53,2018-03-08,2018Q1
8213,志超tpt,107/01/04,28.65,2018-01-04,2018Q1
8249,菱光科技CSI,107/03/30,19.91,2018-03-30,2018Q1
2347,聯強Synnex,107/05/31,36.05,2018-05-31,2018Q2
2414,精技UTE,107/05/29,18.96,2018-05-29,2018Q2
2430,燦坤TKE,107/06/07,19.95,2018-06-07,2018Q2
2459,敦吉Audix,107/03/26,36.06,2018-03-26,2018Q1
3010,華立Wahlee,107/03/16,50.1,2018-03-16,2018Q1
3028,增你強Zenitron,107/06/15,21.18,2018-06-15,2018Q2
3033,威健WEIKENG,107/02/26,18.86,2018-02-26,2018Q1
3036,文曄Wintech,107/01/30,39.45,2018-01-30,2018Q1
3048,益登EDOM,107/01/24,13.68,2018-01-24,2018Q1
3055,蔚華科SPIROX,107/01/26,26.78,2018-01-26,2018Q1
3209,全科科技ALLTEK,107/04/02,17.35,2018-04-02,2018Q2
3312,弘憶股G.M.I,107/09/11,10.39,2018-09-11,2018Q3
3528,安馳科技ANSTEK,107/06/11,32.56,2018-06-11,2018Q2
3702,大聯大WPG,107/06/07,36.61,2018-06-07,2018Q2
5434,崇越TOPCO,107/01/22,70.66,2018-01-22,2018Q1
6189,豐藝Promate,107/01/22,28.5,2018-01-22,2018Q1
6281,全國電E-LIFE MALL,107/06/12,62.76,2018-06-12,2018Q2
8070,長華電材CHANG WAH,107/03/14,134.39,2018-03-14,2018Q1
8072,陞泰科技AV TECH,107/07/03,22.08,2018-07-03,2018Q3
8112,至上Supreme,107/07/17,28.46,2018-07-17,2018Q3
2427,三商電MDS,107/01/18,11.76,2018-01-18,2018Q1
2453,凌群SYSCOM,107/01/17,11.35,2018-01-17,2018Q1
2468,華經FIS,107/01/23,11.25,2018-01-23,2018Q1
2471,資通ARES,107/06/06,14.68,2018-06-06,2018Q2
2480,敦陽科Stark,107/05/03,38.07,2018-05-03,2018Q2
3029,零壹ZERO ONE,107/06/07,20.26,2018-06-07,2018Q2
3130,一零四104 CORPORATION,107/05/21,152.34,2018-05-21,2018Q2
4994,傳奇X-LEGEND,107/12/28,54.58,2018-12-28,2018Q4
5203,訊連CyberLink,107/05/21,69.48,2018-05-21,2018Q2
6112,聚碩SYSAGE,107/07/27,30.4,2018-07-27,2018Q3
6183,關貿網路TRADE-VAN,107/01/29,32.69,2018-01-29,2018Q1
