代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
2429,銘旺科,44.2,-0.55,-1.23,0.02,-0.03,0.02,0.03,-0.06,-0.03,-0.02,0.07,0.4,0,0,-0.06,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
2431,聯昌,11.05,-0.15,-1.34,0.23,0.13,0.29,0.36,0.94,0.12,0.24,0.11,0.14,0.09,0.12,0.14,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
2438,翔耀,29.5,+0.5,+1.72,0.01,0.03,0.02,0.05,0.01,0.02,0.03,0.02,0.02,0,0.15,-0.04,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
2440,太空梭,15.8,+0.65,+4.29,-0.07,0.13,-0.24,-0.07,-0.06,-0.02,-0.18,0.11,-0.36,0.08,-0.03,-0.09,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,
2444,兆勁,12.1,-0.15,-1.22,0.06,0.11,0.15,0.27,-0.2,-0.1,0.11,0.23,-0.32,0.32,0.12,-0.21,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
2460,建通,16.45,-0.35,-2.08,0.01,0.01,0.39,0.54,-0.32,-0.11,0.2,0.04,-0.21,-0.13,-0.18,0,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,
2465,麗臺,47.6,0,0,-0.07,0.06,-0.06,-0.5,0.01,-0.03,-0.06,-0.08,-0.17,0.02,-0.06,-0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
2466,冠西電,108.5,+4,+3.83,0.31,-0.02,0.02,0.11,0.63,-0.17,-0.24,0.03,2.08,-0.12,-0.15,-0.27,1.84,,,,,,,,,,,,,,,,,,,,,,,,,
2485,兆赫,11.5,-0.05,-0.43,0.23,0.68,0.34,1.37,-0.07,0.46,0.71,0.35,-2.72,0.64,0.48,0.05,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
2491,吉祥全,11.1,+0.05,+0.45,0.11,-0.36,-0.45,-0.3,-0.01,0.98,0.06,0.12,0.79,0.56,0.2,-0.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
2498,宏達電,36.9,-0.15,-0.4,2.59,2.88,3.69,1.55,1.78,2.8,2.07,2.15,1.93,3.07,3.63,2.5,3.03,,,,,,,,,,,,,,,,,,,,,,,,,
2547,日勝生,12.65,+0.25,+2.02,-1.97,-1.55,-1.51,-1.81,-1.98,-2,-1.93,-2.1,-2.01,-2.18,-2.08,-2.17,-2.34,,,,,,,,,,,,,,,,,,,,,,,,,
2601,益航,6.48,-0.09,-1.37,-2.7,-1.51,-1.88,-1.21,-2.79,-1.26,-2.27,-2.37,-14.6,-1.71,-0.53,-0.38,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,
2616,山隆,16.15,-0.45,-2.71,0.36,0.05,1.22,0.24,0.79,0.09,0.67,0.12,0.36,0.02,0.71,-0.23,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
2642,宅配通,28,-0.4,-1.41,0.04,-0.01,0.16,-0.02,0,-0.05,0.22,-0.03,-0.05,0,0.16,0.08,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2712,遠雄來,18.4,0,0,0,0.02,0.02,-0.08,0.01,0.02,0,0,0.02,0.01,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2722,夏都,27.5,-0.5,-1.79,0.05,0,-0.02,0.07,-0.02,0.14,0.01,0.04,0,0.35,-0.01,-0.01,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,
2911,麗嬰房,5.08,-0.07,-1.36,0.09,0.16,0.13,-0.01,0.18,0.2,0.02,0.2,0.05,0.14,0.16,0.01,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,
