代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),季度,16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元)
1442,名軒,79,-0.7,-0.88,1.14,0,0.3,0.13,1.32,0.41,0.2,0.1,4,1.43,2.38,2.06,1.3,2019Q1,,,,,,,,,,,,
1443,立益物流,28,-0.5,-1.75,0.4,0.65,0.24,0.67,0.1,0.25,0.19,0.82,0.03,0.72,0.41,0.42,0.25,2019Q1,,,,,,,,,,,,
1444,力麗,7.52,-0.12,-1.57,0.04,0.28,0.33,0.22,-0.31,-0.11,-0.04,0.16,-0.29,0.24,0.1,-0.08,0.01,2019Q1,,,,,,,,,,,,
1446,宏和,26.35,-1.2,-4.36,0.86,-0.02,-0.03,-0.05,-0.17,-0.09,-0.04,-0.05,0.99,2.13,2.05,4.87,0.77,2019Q1,,,,,,,,,,,,
1447,力鵬,6.3,-0.16,-2.48,-0.04,0.13,0.22,-0.06,-0.31,-0.1,-0.14,0.05,-0.32,0.22,0.02,-0.16,-0.03,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1449,佳和,13.35,-0.6,-4.3,0.2,0.08,0.72,0.18,-0.25,0.2,0.1,0.43,-0.13,0.52,0.33,0.14,0.03,2019Q1,,,,,,,,,,,,
1451,年興,18.5,-0.25,-1.33,0.13,0.94,0.85,0.57,-0.2,-1.08,-0.13,-0.03,-0.6,0.15,0.33,0.44,0.32,2019Q1,,,,,,,,,,,,
1452,宏益,12.5,-0.2,-1.57,0.17,0.39,0.32,0.33,-0.07,-0.09,0.04,0.26,0.18,-0.02,0.36,0.05,0.25,2019Q1,,,,,,,,,,,,
1453,大將,13.65,-0.25,-1.8,0.04,0.36,-0.47,0,-0.01,0,0.12,-0.08,0.53,0.15,0.12,-0.15,-0.12,2019Q1,,,,,,,,,,,,
1454,台富,14.4,-0.3,-2.04,0.04,0.06,0.13,0.18,-0.1,-0.03,0.17,0.04,-0.02,0.16,0.09,0,-0.14,2019Q1,,,,,,,,,,,,
1455,集盛,9.2,+0.13,+1.43,-0.08,0.15,-0.06,-0.42,-0.2,-0.08,-0.28,-0.16,0.07,0.14,0.12,-0.12,-0.13,2019Q1,,,,,,,,,,,,
1456,怡華,13.05,0,0,0.03,-0.43,-0.36,-0.3,0.28,-0.63,1.31,-0.12,-0.47,-0.46,-0.44,-0.16,2.18,2019Q1,,,,,,,,,,,,
1457,宜進,17.15,-0.2,-1.15,0.67,4.31,0.02,0.16,0.05,0.11,-0.19,0.24,2.38,0.03,0.25,0.67,-0.03,2019Q1,,,,,,,,,,,,
1459,聯發,10.9,-0.4,-3.54,-0.05,0.27,-1.03,-0.7,0.06,-0.03,0.14,0.15,-0.18,0.01,0.36,0.19,0.12,2019Q1,,,,,,,,,,,,
1463,強盛新,20.7,-0.45,-2.13,0.36,0.03,-0.23,0.28,0.34,0.21,-0.02,0.27,0.19,0.09,-0.05,0.22,3.02,2019Q1,,,,,,,,,,,,
1464,得力,14.35,-0.3,-2.05,0.18,0.3,0.25,0.45,-0.04,0.12,-0.09,0.08,0.03,0.13,0.25,0.27,0.38,2019Q1,,,,,,,,,,,,
1465,偉全,14.15,-0.2,-1.39,0.18,0.15,0.32,0.6,-0.13,0.02,0.35,0.42,-0.24,0.36,0.2,-0.14,0.23,2019Q1,,,,,,,,,,,,
1466,聚隆,13.2,-0.7,-5.04,-0.15,0.39,0.03,-0.4,-0.62,-0.69,-0.4,-0.18,-0.09,-0.17,0.06,-0.01,0.26,2019Q1,,,,,,,,,,,,
1467,南緯,8.9,-0.26,-2.84,-0.03,0,0.12,0,-0.29,-0.49,-0.29,0.09,-0.01,0.12,0,0.28,0.07,2019Q1,,,,,,,,,,,,
1468,昶和,13.2,-0.55,-4,0.11,0.09,0.21,0.65,-0.72,-0.02,0.14,0.28,-0.23,0.25,0.47,0.08,0.15,2019Q1,,,,,,,,,,,,
1470,大統新創,23.45,0,0,0.17,0.31,-0.07,0.15,-0.01,0.41,0.1,0.06,0,0.36,0.27,0.13,0.37,2019Q1,,,,,,,,,,,,
1471,首利,9.91,-0.19,-1.88,-0.11,0.05,-0.77,-0.13,-0.19,-0.02,-0.23,0.06,-0.1,0.04,0.02,0.22,-0.22,2019Q1,,,,,,,,,,,,
1472,三洋實業,102.5,+4.5,+4.59,0.65,0.07,0.32,-0.46,0.22,0.36,0.85,1.55,1.49,1.13,0.26,0.51,1.51,2019Q1,,,,,,,,,,,,
