代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
3508,位速,櫃,04/17,,21.05,+0.05,+0.24,64,1.33,21,21,21.05,20.7,1.67,,3.36,+236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,矽瑪,櫃,04/17,,21.2,-0.25,-1.17,246,5.2,21.45,20.8,21.55,20.8,3.5,,1.21,+21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521,鴻翊,櫃,04/17,,11.95,-0.05,-0.42,55,0.65,12,11.85,12.05,11.8,2.08,,1.2,+20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,御嵿,櫃,04/17,,16.1,-0.6,-3.59,116,1.86,16.7,16.25,16.25,15.85,2.4,,2.26,+126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523,迎輝,櫃,04/17,,20.1,+0.15,+0.75,6,0.12,19.95,19.95,20.15,19.95,1,,2.49,+149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,曜越,櫃,04/17,,26.45,-0.25,-0.94,115,3.04,26.7,26.25,26.7,26,2.62,,1.06,+6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,西柏,櫃,04/17,,26.85,+0.1,+0.37,12,0.32,26.75,26.7,26.85,26.7,0.56,,1.96,+95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,博士旺,櫃,04/17,,28.3,+1.8,+6.79,7,0.2,26.5,26.5,28.3,26.5,6.79,,3.02,+202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,三一東林,櫃,04/17,,43.5,-0.5,-1.14,101,4.44,44,44.7,44.7,43.15,3.52,,5.94,+494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,富晶通,櫃,04/17,,16.5,-0.15,-0.9,53,0.87,16.65,16.55,16.7,16.15,3.3,,1.36,+36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
