代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),季度,16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億)
1316,上曜,15.85,-0.6,-3.65,-0.09,-0.12,0.87,1.05,-0.1,-0.37,-0.44,-0.42,-0.56,-0.59,0.42,-0.19,-0.65,2019Q1,,,,,,,,,,,,
1325,恆大,24,-0.4,-1.64,-0.11,-0.01,-0.05,-0.06,0.07,-0.06,-0.14,-0.13,-0.16,-0.11,-0.24,-0.25,-0.21,2019Q1,,,,,,,,,,,,
1337,再生-KY,5.54,-0.12,-2.12,-1,-1.06,-1.27,-1.21,-1.13,-0.97,-1.01,-1.02,-0.91,-0.84,-0.87,-0.94,-0.72,2019Q1,,,,,,,,,,,,
1338,廣華-KY,24,-0.8,-3.23,0.14,1.47,-0.02,0.65,0,0.11,-0.25,0.47,0.12,-0.29,-0.25,-0.14,-0.23,2019Q1,,,,,,,,,,,,
1340,勝悅-KY,7.33,+0.02,+0.27,-1.03,-1.06,-1.08,-1.11,-1.04,-0.92,-1.05,-1.1,-0.96,-1.03,-1.19,-1.04,-0.82,2019Q1,,,,,,,,,,,,
1413,宏洲,11.45,0,0,-0.06,0.4,0.61,-0.1,-0.07,-0.35,-0.36,-0.42,-0.24,-0.16,-0.15,0.03,0.01,2019Q1,,,,,,,,,,,,
1417,嘉裕,7.76,-0.14,-1.77,-0.43,0,-0.41,-0.08,-1.42,0.02,-0.11,-0.55,-0.15,-0.2,-0.55,-0.55,-1.2,2019Q1,,,,,,,,,,,,
1432,大魯閣,16.15,-0.35,-2.12,0.05,0.07,-0.52,0.49,-0.11,0.22,0.22,0.48,-0.12,0.11,-0.01,-0.04,-0.21,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),2019Q1,,,,,,,,,,,,
1435,中福,31.5,0,0,-0.13,-0.09,-0.12,-0.18,-0.08,-0.09,-0.2,-0.14,-0.09,-0.08,-0.11,-0.15,-0.17,2019Q1,,,,,,,,,,,,
1438,三地開發,39.5,+0.15,+0.38,0.34,-0.04,4.15,-0.04,0.1,0.35,-0.06,-0.02,-0.03,-0.06,-0.06,-0.07,-0.1,2019Q1,,,,,,,,,,,,
1440,南紡,11.85,-0.35,-2.87,-1.46,5.79,3.38,-0.94,-4.59,-5.48,-2.75,-2.36,-1.95,-1.69,-1.02,-3.02,-2.95,2019Q1,,,,,,,,,,,,
1445,大宇,14.2,-0.2,-1.39,-0.25,-0.08,-0.53,0.04,0.24,0.22,0.08,-0.01,-1.05,-0.2,-0.08,-0.25,-1.43,2019Q1,,,,,,,,,,,,
1460,宏遠,6.87,-0.1,-1.43,-0.95,0.94,0.3,-0.64,0.37,0.89,-1.35,-4.31,-5.55,-0.2,-1.42,-0.59,0.2,2019Q1,,,,,,,,,,,,
