代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),季度,14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億)
1909,榮成,9.01,-0.16,-1.74,19.5,,,,,,,,,,,,,25.6,18.5,26.1,25.9,14.8,23.4,17.7,16.6,15.2,14.6,15.6,20.2,2019Q4,,,,,,,,,,,,
2007,燁興,8.3,-0.06,-0.72,0.35,,,,,,,,,,,,,0.92,0.2,0.64,0.91,1.21,1.05,1.3,0.36,-0.25,-0.55,-0.45,-1.1,2019Q4,,,,,,,,,,,,
2014,中鴻,16.5,-0.2,-1.2,7.93,,,,,,,,,,,,,10.1,6.55,6.98,15.3,10.6,12.1,11.4,9.76,5.08,7.48,2.38,-2.48,2019Q4,,,,,,,,,,,,
2022,聚亨,8.1,-0.07,-0.86,1.28,,,,,,,,,,,,,1.84,0.86,1.91,2.14,1.55,1.77,1.91,0.91,1.93,1.3,-0.77,0.05,2019Q4,,,,,,,,,,,,
2023,燁輝,15.55,0,0,12.3,,,,,,,,,,,,,21.4,12.9,16.3,12.4,13.8,12.5,14.3,18.5,6.38,7.86,6.75,4.5,2019Q4,,,,,,,,,,,,
2025,千興,13.35,-0.1,-0.74,0,,,,,,,,,,,,,0.68,-1.1,0.63,1.76,0.27,0.42,-0.41,-0.68,-0.49,-0.34,-0.33,-0.43,2019Q4,,,,,,,,,,,,
2034,允強,20.1,-0.2,-0.99,4.66,,,,,,,,,,,,,5.72,4.55,4.83,4.85,4.64,6.36,5.59,3.62,4.84,4.23,4.73,2.01,2019Q4,,,,,,,,,,,,
2102,泰豐,16.95,-0.05,-0.29,1.44,,,,,,,,,,,,,2.14,1.9,1.89,0.97,1.01,1.19,0.91,0.36,2.07,1.54,1.71,1.53,2019Q4,,,,,,,,,,,,
2104,國際中橡,10.55,-0.1,-0.94,13.7,,,,,,,,,,,,,13,15,13.9,13.8,15.1,17.7,17.7,15.3,15.8,13.2,19.2,-4.9,2019Q4,,,,,,,,,,,,
2208,台船,17.15,-0.55,-3.11,-7.92,,,,,,,,,,,,,-16.9,-10.7,-20.3,-9.32,-10.5,-1.79,-10,-3.67,-1.62,-3.82,1.52,-7.99,2019Q4,,,,,,,,,,,,
2241,艾姆勒,24.2,-0.1,-0.41,0.59,,,,,,,,,,,,,,,,,,0.53,,1.01,0.31,0.61,0.64,0.43,2019Q4,,,,,,,,,,,,
2254,巨鎧精密-創,67.4,-1.1,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
2258,鴻華先進-創,40.5,-0.9,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
2314,台揚,12,+0.1,+0.84,2.65,,,,,,,,,,,,,3.23,3.12,2.65,2.58,2.17,2.45,2.66,3.38,2.43,3.01,2.05,2.03,2019Q4,,,,,,,,,,,,
2321,東訊,13.65,-0.3,-2.15,0.68,,,,,,,,,,,,,0.86,0.92,0.78,0.75,0.53,0.64,0.56,1.22,0.48,0.54,0.47,0.47,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
2323,中環,7.77,-0.06,-0.77,1.46,,,,,,,,,,,,,-0.78,0.52,0.61,0.17,-0.34,0.56,2.2,3.34,3.19,4.88,2.18,0.94,2019Q4,,,,,,,,,,,,
2331,精英,15.4,+0.2,+1.32,7.2,,,,,,,,,,,,,9.07,8.05,8.6,4.62,3.79,6.07,8.14,7.17,4.36,9.17,9.05,8.38,2019Q4,,,,,,,,,,,,
2337,旺宏,19.15,-0.05,-0.26,30.1,,,,,,,,,,,,,18.1,22.2,40.2,45.8,38.1,40.3,35.5,25.4,15.3,20,35.8,25.1,2019Q4,,,,,,,,,,,,
2338,光罩,31.15,+0.3,+0.97,1.24,,,,,,,,,,,,,0.42,0.8,0.72,0.5,1.25,1.5,1.87,1.67,1.55,1.98,1.76,0.83,2019Q4,,,,,,,,,,,,
2340,台亞,20.75,+0.25,+1.22,4.1,,,,,,,,,,,,,4.89,4.19,4.45,3.01,4.02,4.18,4.36,3.66,3.12,4.49,5.12,3.65,2019Q4,,,,,,,,,,,,
2369,菱生,13.45,-0.05,-0.37,0.7,,,,,,,,,,,,,1.62,1.73,1.81,1.49,0.28,1.23,0.65,0.23,-0.99,-0.04,0.34,0.06,2019Q4,,,,,,,,,,,,
2380,虹光,3.89,+0.34,+9.58,1.1,,,,,,,,,,,,,1.18,1.06,1.14,0.99,1.08,1.08,1.45,1.55,1.19,1.04,0.85,0.61,2019Q4,,,,,,,,,,,,
2390,云辰,10.25,-0.05,-0.49,0.27,,,,,,,,,,,,,0.18,0.29,0.21,0.23,0.27,0.34,0.29,0.29,0.36,0.28,0.33,0.21,2019Q4,,,,,,,,,,,,
2406,國碩,11,0,0,0.99,,,,,,,,,,,,,0.94,-0.29,1.73,1.06,0.72,-0.65,-1.53,0.04,2.38,2.76,2.38,2.33,2019Q4,,,,,,,,,,,,
2408,南亞科,32.1,-0.65,-1.98,73.1,,,,,,,,,,,,,49,55.4,58.8,83.2,97.4,135,144,89.7,46.3,43.5,41.4,33.8,2019Q4,,,,,,,,,,,,
2409,友達,12.3,-0.1,-0.81,74.7,,,,,,,,,,,,,174,171,153,112,81.4,72.7,86.4,40.8,2.44,19.8,-2.72,-15,2019Q4,,,,,,,,,,,,
2413,環科,18.25,0,0,1.38,,,,,,,,,,,,,1.44,1.31,1.53,1.23,1.31,1.39,1.77,1.64,1.24,1.15,1.41,1.18,2019Q4,,,,,,,,,,,,
2424,隴華,59.8,0,0,-0.01,,,,,,,,,,,,,0.01,0.01,0.06,0.01,0.01,0,0,0,0,0.02,-0.01,-0.2,2019Q4,,,,,,,,,,,,
2429,銘旺科,44.2,-0.55,-1.23,0.25,,,,,,,,,,,,,0.36,0.32,0.36,0.26,0.27,0.36,0.2,0.24,0.2,0.21,0.19,0.06,2019Q4,,,,,,,,,,,,
2431,聯昌,11.05,-0.15,-1.34,0.57,,,,,,,,,,,,,1.11,0.8,0.48,0.01,0.18,0.37,0.55,0.19,0.65,0.7,1.02,0.73,2019Q4,,,,,,,,,,,,
2438,翔耀,29.5,+0.5,+1.72,0.36,,,,,,,,,,,,,0.48,0.44,0.48,0.5,0.41,0.44,0.22,0.26,0.25,0.26,0.26,0.31,2019Q4,,,,,,,,,,,,
2440,太空梭,15.8,+0.65,+4.29,0.53,,,,,,,,,,,,,0.64,0.48,0.81,0.88,0.52,0.49,0.42,0.46,0.32,0.32,0.43,0.63,2019Q4,,,,,,,,,,,,
2444,兆勁,12.1,-0.15,-1.22,0.42,,,,,,,,,,,,,0.47,0.62,0.63,0.58,0.34,0.37,0.29,0.11,0.13,0.26,0.64,0.63,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
2460,建通,16.45,-0.35,-2.08,0.84,,,,,,,,,,,,,0.84,0.88,1.08,1.46,0.82,0.7,0.32,0.94,0.86,0.89,0.55,0.75,2019Q4,,,,,,,,,,,,
2465,麗臺,47.6,0,0,1.14,,,,,,,,,,,,,0.9,1.04,1.1,1,0.97,1.1,0.96,1.74,1.21,1.02,1.34,1.31,2019Q4,,,,,,,,,,,,
2466,冠西電,108.5,+4,+3.83,0.5,,,,,,,,,,,,,0.19,0.74,0.84,0.29,0.13,0.87,0.66,0.44,0.42,1.18,0.68,-0.47,2019Q4,,,,,,,,,,,,
2485,兆赫,11.5,-0.05,-0.43,1.76,,,,,,,,,,,,,2.78,2.32,2.36,2.04,0.87,1.99,2.03,1.64,0.75,1.77,1.7,0.87,2019Q4,,,,,,,,,,,,
2491,吉祥全,11.1,+0.05,+0.45,0.11,,,,,,,,,,,,,0.22,0.24,0.24,0.23,0.22,0.15,0.2,0.27,0.22,0.13,0.3,-1.09,2019Q4,,,,,,,,,,,,
2498,宏達電,36.9,-0.15,-0.4,3.24,,,,,,,,,,,,,23.6,22.1,16.1,-48.5,-1.85,1.8,1.91,3.29,4.31,5.7,5.61,4.66,2019Q4,,,,,,,,,,,,
2547,日勝生,12.65,+0.25,+2.02,11.7,,,,,,,,,,,,,6.16,5.63,7.61,21.3,10.5,19.6,36,6.14,6.09,4.99,11.9,4.92,2019Q4,,,,,,,,,,,,
2601,益航,6.48,-0.09,-1.37,13.7,,,,,,,,,,,,,13,11.8,11.1,16.8,14.7,13.2,12.1,17.3,14.3,13.2,11.7,15.5,2019Q4,,,,,,,,,,,,
2616,山隆,16.15,-0.45,-2.71,3.69,,,,,,,,,,,,,3.68,3.83,3.72,3.66,3.55,3.89,3.83,3.37,3.76,3.83,3.33,3.89,2019Q4,,,,,,,,,,,,
2642,宅配通,28,-0.4,-1.41,1.35,,,,,,,,,,,,,1.22,1.38,1.36,1.06,1.3,1.18,1.19,1.41,1.51,1.52,1.59,1.55,2019Q4,,,,,,,,,,,,
2712,遠雄來,18.4,0,0,0.27,,,,,,,,,,,,,0.22,0.27,0.58,0.32,-0.13,0.27,0.53,0.13,0.17,0.23,0.49,0.21,2019Q4,,,,,,,,,,,,
2722,夏都,27.5,-0.5,-1.79,0.72,,,,,,,,,,,,,0.53,0.98,1.29,0.57,0.28,0.61,0.9,0.52,0.5,0.75,1.16,0.6,2019Q4,,,,,,,,,,,,
2911,麗嬰房,5.08,-0.07,-1.36,6.62,,,,,,,,,,,,,8.43,6.72,6.27,8.69,7.64,6.34,5.98,7.81,5.94,4.8,4.72,6.11,2019Q4,,,,,,,,,,,,
2913,農林,15.45,+0.05,+0.32,0.81,,,,,,,,,,,,,6.53,0.31,0.3,0.26,0.29,0.31,0.25,0.31,0.31,0.31,0.29,0.29,2019Q4,,,,,,,,,,,,
2939,永邑-KY,28.85,+1.7,+6.26,2.47,,,,,,,,,,,,,4.51,5.37,2.88,2.42,2.51,1.62,2.55,1.59,1.84,1.13,1.81,1.45,2019Q4,,,,,,,,,,,,
3011,今皓,12.6,-0.15,-1.18,0.38,,,,,,,,,,,,,0.29,0.48,0.4,0.46,0.22,0.34,0.53,0.59,0.29,0.41,0.42,0.15,2019Q4,,,,,,,,,,,,
3018,隆銘綠能,21.85,+0.4,+1.86,0.14,,,,,,,,,,,,,0.27,0.39,0.32,0.47,0.35,0.52,0.46,-0.42,0.42,0.15,-0.13,-1.13,2019Q4,,,,,,,,,,,,
3041,揚智,23.55,-0.15,-0.63,1.74,,,,,,,,,,,,,2.06,2.55,2.54,1.97,1.67,1.29,0.87,0.42,1.92,1.15,2.24,2.18,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
3048,益登,23.8,0,0,6.55,,,,,,,,,,,,,5.73,5.63,6.86,6.56,5.52,6.12,6.97,6.82,5.85,6.97,7.87,7.65,2019Q4,,,,,,,,,,,,
3049,精金,6.88,-0.08,-1.15,2.08,,,,,,,,,,,,,2.15,1.43,0.04,-0.03,0.65,2.22,1.38,0.53,2.95,4.54,4.54,4.59,2019Q4,,,,,,,,,,,,
3054,立萬利,22.8,+0.8,+3.64,-0.03,,,,,,,,,,,,,0.13,-0.11,-0.14,-0.4,0,0.06,0.02,0.03,0.03,0.01,0.01,-0.02,2019Q4,,,,,,,,,,,,
3055,蔚華科,48.05,-0.35,-0.72,1.53,,,,,,,,,,,,,1.38,1.42,1.3,1.7,1.57,1.97,1.56,1.95,1.25,1.31,0.88,2.03,2019Q4,,,,,,,,,,,,
3057,喬鼎,8.18,-0.09,-1.09,1.37,,,,,,,,,,,,,2.05,1.8,1.63,1.24,1.51,1.65,1.48,1.25,0.81,1.12,0.89,0.96,2019Q4,,,,,,,,,,,,
3058,立德,10.25,-0.15,-1.44,1.54,,,,,,,,,,,,,1.64,1.65,1.56,1.54,1.15,1.64,1.74,1.44,1.26,1.49,1.65,1.7,2019Q4,,,,,,,,,,,,
3092,鴻碩,19.25,-0.5,-2.53,1.95,,,,,,,,,,,,,1.97,2.08,1.84,1.53,1.6,1.91,2.53,2.19,1.96,1.86,1.8,2.1,2019Q4,,,,,,,,,,,,
3149,正達,29.8,-0.35,-1.16,-0.07,,,,,,,,,,,,,-1.69,-0.1,0.01,0.25,0.23,0.39,0.31,-0.09,-0.17,-0.26,0.12,0.14,2019Q4,,,,,,,,,,,,
3321,同泰,7.08,+0.36,+5.36,0.17,,,,,,,,,,,,,0.25,0.26,0.75,0.62,-0.24,-0.14,0.67,-0.05,-0.24,-0.63,0.33,0.48,2019Q4,,,,,,,,,,,,
3419,譁裕,14.55,+0.15,+1.04,0.83,,,,,,,,,,,,,1.23,1.12,1.03,0.91,0.87,1.13,1.06,0.98,0.47,0.67,0.87,-0.33,2019Q4,,,,,,,,,,,,
3432,台端,13.8,+0.65,+4.94,0.12,,,,,,,,,,,,,0.21,0.22,0.16,0.19,0.15,0.13,0.07,0.1,0.08,0.04,0.04,0.03,2019Q4,,,,,,,,,,,,
3437,榮創,15.15,-0.15,-0.98,1.17,,,,,,,,,,,,,1.4,1.45,2.51,2.34,-0.26,0.28,1.88,0.89,0.1,0.79,1.54,1.13,2019Q4,,,,,,,,,,,,
3494,誠研,14.55,0,0,0.37,,,,,,,,,,,,,0.59,0.85,0.33,0.31,0.29,0.25,0.39,0.92,0.06,0.17,0.45,-0.22,2019Q4,,,,,,,,,,,,
3504,揚明光,44.35,+0.35,+0.8,2.58,,,,,,,,,,,,,1.67,1.8,2.1,2.56,2.46,3.07,4.27,2.75,2.32,2.69,2.86,2.42,2019Q4,,,,,,,,,,,,
3518,柏騰,17.75,0,0,0.11,,,,,,,,,,,,,0.12,0.17,-0.02,0.05,-0.11,-0.06,0.12,0.2,0.08,0.24,0.19,0.34,2019Q4,,,,,,,,,,,,
3530,晶相光,55.4,-0.7,-1.25,1.19,,,,,,,,,,,,,1.16,1.03,1.27,1.54,1.03,1.01,0.95,1.71,0.67,1.2,1.37,1.34,2019Q4,,,,,,,,,,,,
3543,州巧,17.4,+0.3,+1.75,1.89,,,,,,,,,,,,,,,,,,1.89,,4.37,1.05,1.34,1.45,1.21,2019Q4,,,,,,,,,,,,
3550,聯穎,12.6,-0.05,-0.4,1.81,,,,,,,,,,,,,1.64,1.72,1.98,2.12,1.75,2.11,1.9,1.89,1.32,1.55,1.68,2.03,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
3576,聯合再生,8.2,+0.1,+1.23,-3.21,,,,,,,,,,,,,-6.79,-2.14,-8.96,-1.94,-2.21,-3.3,-0.74,-2.58,-1,0.23,-4.22,-4.86,2019Q4,,,,,,,,,,,,
3593,力銘,9.85,-0.15,-1.5,0.14,,,,,,,,,,,,,0.09,0.29,0.5,0.41,0.02,0.09,0.35,0.3,-0.07,-0.21,-0.18,0.14,2019Q4,,,,,,,,,,,,
3686,達能,14.1,-0.4,-2.76,-0.77,,,,,,,,,,,,,-1.68,-1.81,-1.41,-1.31,-0.11,-0.15,-0.21,-1.54,-0.07,-0.08,-0.06,-0.8,2019Q4,,,,,,,,,,,,
3714,富采,35.15,+0.2,+0.57,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
4108,懷特,13.15,0,0,0.12,,,,,,,,,,,,,0.04,0.05,0.04,0.11,0.15,0.14,0.11,0.15,0.2,0.24,0.12,0.08,2019Q4,,,,,,,,,,,,
4142,國光生,18.55,-0.15,-0.8,-0.32,,,,,,,,,,,,,-0.88,-0.8,-0.19,-0.75,-0.88,-0.59,0.94,-2.42,-1.05,-0.45,2.07,1.1,2019Q4,,,,,,,,,,,,
4190,佐登-KY,34.5,+0.4,+1.17,5.44,,,,,,,,,,,,,3.66,3.97,4.25,4.56,5.35,6.15,5.92,6.44,4.99,6.84,5.9,7.19,2019Q4,,,,,,,,,,,,
4426,利勤,11.2,-0.2,-1.75,1.61,,,,,,,,,,,,,1.68,1.76,1.42,1.14,1.89,1.22,1.58,1.17,2.18,1.7,2.31,1.23,2019Q4,,,,,,,,,,,,
4526,東台,21.5,-1,-4.44,6.07,,,,,,,,,,,,,4.5,4.7,6.55,5.22,5.56,7.41,6.6,7.58,7.02,6.11,6.11,5.52,2019Q4,,,,,,,,,,,,
4540,全球傳動,36.6,-0.05,-0.14,1.88,,,,,,,,,,,,,0.91,1.28,1.93,2.62,2.5,3.81,3.6,2.06,1.16,0.76,0.99,0.93,2019Q4,,,,,,,,,,,,
4555,氣立,34.75,+0.35,+1.02,1.38,,,,,,,,,,,,,0.98,1.65,1.64,1.47,1.45,1.9,1.61,1.41,1.09,1.28,1.11,0.98,2019Q4,,,,,,,,,,,,
4562,穎漢,40.9,+0.55,+1.36,1.18,,,,,,,,,,,,,1.26,1.38,1.23,1.63,1.1,1.48,1.51,1.38,0.87,1.1,0.58,0.63,2019Q4,,,,,,,,,,,,
4564,元翎,19.4,+0.65,+3.47,2.05,,,,,,,,,,,,,,2.19,1.57,1.48,1.86,1.87,2.03,2.74,2.66,2.72,2.02,1.42,2019Q4,,,,,,,,,,,,
4737,華廣,55,+5,+10,2.22,,,,,,,,,,,,,1.59,1.74,1.92,2.71,1.57,2.05,2.44,3.12,1.3,2.56,2.25,3.37,2019Q4,,,,,,,,,,,,
4764,雙鍵,39,-0.2,-0.51,2.41,,,,,,,,,,,,,2.42,2.22,2.53,2.45,2.76,3.54,3.11,3.11,2.35,1.74,1.46,1.22,2019Q4,,,,,,,,,,,,
4807,日成-KY,17.7,+1.6,+9.94,1.47,,,,,,,,,,,,,1.59,1.62,1.81,1.58,2.3,2.13,2.77,1.56,0.54,0.15,0.42,1.14,2019Q4,,,,,,,,,,,,
4927,泰鼎-KY,22.5,-0.65,-2.81,4.06,,,,,,,,,,,,,2.77,2.47,3.01,2.59,3.01,3.51,6.16,5.52,5.51,5.36,5.44,3.39,2019Q4,,,,,,,,,,,,
4934,太極,9.9,0,0,-0.91,,,,,,,,,,,,,-1.65,-0.33,0.21,0,-2.09,-2.27,-2.3,-1.36,-0.24,0.21,0.29,-1.46,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
4943,康控-KY,12,0,0,5.25,,,,,,,,,,,,,1.93,2.1,9.46,9.27,1.99,5.68,9.66,6.36,0.87,4.21,5.65,5.79,2019Q4,,,,,,,,,,,,
4949,有成精密,38.5,-0.8,-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
4956,光鋐,21.35,+0.75,+3.64,0.5,,,,,,,,,,,,,0.82,0.99,0.83,0.63,0.51,0.66,0.58,-0.24,0.12,0.33,0.3,0.44,2019Q4,,,,,,,,,,,,
4960,誠美材,12.25,-0.15,-1.21,0.32,,,,,,,,,,,,,-1.77,-2.1,-2.79,-0.83,-1.14,-0.5,4.26,3,0.84,2.49,1.1,1.27,2019Q4,,,,,,,,,,,,
4976,佳凌,25.8,+0.3,+1.18,0.34,,,,,,,,,,,,,0.37,0.47,0.46,0.5,0.49,0.5,0.66,0.27,0.22,0.31,0.07,-0.18,2019Q4,,,,,,,,,,,,
4989,榮科,14.6,-0.05,-0.34,1.26,,,,,,,,,,,,,3.17,2.04,1.64,1.96,1.69,0.62,1.24,1.03,0.62,0.45,0.33,0.39,2019Q4,,,,,,,,,,,,
5484,慧友,37.55,0,0,0.17,,,,,,,,,,,,,0.54,0.53,0.3,0.19,0.22,0.01,-0.26,-0.01,0.14,0.19,0.11,0.04,2019Q4,,,,,,,,,,,,
5531,鄉林,9.71,-0.11,-1.12,5.87,,,,,,,,,,,,,1.4,1.06,4.33,11.3,2.94,7.07,7.91,4.99,2.23,5.6,3.21,18.4,2019Q4,,,,,,,,,,,,
5546,永固-KY,28,+0.15,+0.54,3.47,,,,,,,,,,,,,,,,,,,,8.31,1.18,1.82,2.75,3.3,2019Q4,,,,,,,,,,,,
5608,四維航,16.3,-0.1,-0.61,0.54,,,,,,,,,,,,,-1.59,-1.39,-0.72,0.68,0.85,1.4,1.86,1.72,1.35,0.93,1.17,0.24,2019Q4,,,,,,,,,,,,
5907,大洋-KY,8.64,-0.34,-3.79,12.2,,,,,,,,,,,,,12,10.6,9.41,15.5,13,11.4,10.3,15.5,12.7,11.8,10.2,14.2,2019Q4,,,,,,,,,,,,
6112,邁達特,43.5,-0.55,-1.25,2.74,,,,,,,,,,,,,2.2,2.32,2.36,2.55,2.57,2.5,2.81,3.07,2.78,3.31,3.33,3.09,2019Q4,,,,,,,,,,,,
6116,彩晶,6.98,0,0,11.1,,,,,,,,,,,,,26.4,13.3,27.8,18.9,13.2,14.6,7.89,-7.53,3.51,5.72,5.75,3.71,2019Q4,,,,,,,,,,,,
6141,柏承,9.4,-0.05,-0.53,1.34,,,,,,,,,,,,,1.62,1.48,1.19,1.44,1.03,1.01,1.7,1.32,1.3,1.51,1.11,1.34,2019Q4,,,,,,,,,,,,
6142,友勁,8.62,+0.04,+0.47,0.74,,,,,,,,,,,,,1.11,1.28,0.83,0.7,0.44,0.52,1.12,0.59,0.24,0.38,1.07,0.56,2019Q4,,,,,,,,,,,,
6152,百一,9.01,-0.06,-0.66,1.7,,,,,,,,,,,,,2.69,2.71,2.14,1.28,0.95,1.48,1.7,0.86,0.99,1.32,1.9,2.39,2019Q4,,,,,,,,,,,,
6153,嘉聯益,11.4,+0.25,+2.24,5.76,,,,,,,,,,,,,3.36,3.19,4.85,4.95,4.81,5.05,6.88,10.1,4.94,5.66,8.76,6.48,2019Q4,,,,,,,,,,,,
6168,宏齊,15.9,0,0,1.36,,,,,,,,,,,,,1.33,1.48,2.07,1.74,1.64,1.75,1.34,0.93,1.28,0.86,0.99,0.92,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
6202,盛群,38.75,+0.2,+0.52,5.67,,,,,,,,,,,,,4.98,5.25,5.41,5.99,5.31,6.61,6.22,5.8,5.04,5.94,5.68,5.87,2019Q4,,,,,,,,,,,,
6209,今國光,23.5,-0.45,-1.88,0.49,,,,,,,,,,,,,0.65,0.51,0.61,0.36,0.19,0.07,1.08,0.42,0.35,0.2,0.63,0.8,2019Q4,,,,,,,,,,,,
6225,天瀚,12.35,-0.55,-4.26,-0.01,,,,,,,,,,,,,-0.03,-0.03,-0.01,-0.01,-0.01,-0.05,0,0,0,0,0,0.02,2019Q4,,,,,,,,,,,,
6226,光鼎,7.28,+0.05,+0.69,0.83,,,,,,,,,,,,,0.78,0.96,0.63,0.81,1.01,0.87,0.96,0.76,0.65,0.91,0.95,0.62,2019Q4,,,,,,,,,,,,
6269,台郡,49.8,-0.6,-1.19,13.9,,,,,,,,,,,,,9.85,9,16.4,21.4,8.02,6.31,17,19.9,4.95,7.59,19.8,27.1,2019Q4,,,,,,,,,,,,
6282,康舒,26.05,-0.2,-0.76,6.91,,,,,,,,,,,,,6.98,7.04,7.98,6.68,4.4,6.17,7.33,6.66,6.85,7.89,7.91,7,2019Q4,,,,,,,,,,,,
6405,悅城,21.6,-0.55,-2.48,0.35,,,,,,,,,,,,,0.13,0.47,0.56,0.63,0.32,0.37,0.26,0.32,0.05,0.29,0.4,0.38,2019Q4,,,,,,,,,,,,
6426,統新,59.1,0,0,0.61,,,,,,,,,,,,,0.94,0.83,0.43,0.36,0.45,0.28,0.26,0.49,0.61,0.7,0.98,0.94,2019Q4,,,,,,,,,,,,
6431,光麗-KY,18.75,+0.45,+2.46,-0.09,,,,,,,,,,,,,-0.23,-0.14,-0.19,-0.53,-0.07,-0.06,0.07,-0.01,0.03,-0.04,0.12,0.01,2019Q4,,,,,,,,,,,,
6443,元晶,14.15,0,0,-0.55,,,,,,,,,,,,,-1.5,-0.33,0.54,-0.96,-1.73,-1.52,-3.7,0.37,1.33,0.42,0.44,0.01,2019Q4,,,,,,,,,,,,
6477,安集,27.9,-0.2,-0.71,0.82,,,,,,,,,,,,,0.19,0.56,0.8,0.71,0.7,0.99,1.22,1.09,1.03,0.97,0.83,0.79,2019Q4,,,,,,,,,,,,
6541,泰福-KY,63.5,+0.7,+1.11,0,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,2019Q4,,,,,,,,,,,,
6550,北極星藥業-KY,40.25,+3.65,+9.97,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
6573,虹揚-KY,11.25,-0.3,-2.6,0.72,,,,,,,,,,,,,1.07,1.39,1,1.27,0.69,0.97,0.53,0.47,0,0.39,0.51,0.29,2019Q4,,,,,,,,,,,,
6598,ABC-KY,18.85,-0.15,-0.79,0.09,,,,,,,,,,,,,,,0.02,0.09,,0.08,0.02,0.06,0.18,0.07,0.16,0.11,2019Q4,,,,,,,,,,,,
6645,金萬林-創,21.85,+0.35,+1.63,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
6657,華安,59.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019Q4,,,,,,,,,,,,
