公司代號,年度,月份,加權(A/B)平均價,year_quarter
1109,111,3,20.35,2022Q1
1109,111,6,19.9,2022Q2
1109,111,9,16.44,2022Q3
1109,111,12,16.14,2022Q4
1109,112,3,16.96,2023Q1
1109,112,6,18.59,2023Q2
1109,112,9,17.97,2023Q3
1109,112,12,18.22,2023Q4
1109,113,3,18.49,2024Q1
1109,113,6,19.46,2024Q2
1109,113,9,18.35,2024Q3
1109,113,12,18.5,2024Q4
1109,114,3,17.82,2025Q1
1109,114,6,,2025Q2
1109,114,9,,2025Q3
1109,114,12,,2025Q4
1110,105,3,14.97,2016Q1
1110,105,6,15.28,2016Q2
1110,105,9,15.47,2016Q3
1110,105,12,15.44,2016Q4
1110,106,3,16.26,2017Q1
1110,106,6,15.48,2017Q2
1110,106,9,14.97,2017Q3
1110,106,12,14.24,2017Q4
1110,107,3,13.94,2018Q1
1110,107,6,14.05,2018Q2
1110,107,9,13.85,2018Q3
1110,107,12,15.33,2018Q4
1110,108,3,16.31,2019Q1
1110,108,6,16.76,2019Q2
1110,108,9,16.56,2019Q3
1110,108,12,17.16,2019Q4
1110,109,3,15.59,2020Q1
1110,109,6,16.24,2020Q2
1110,109,9,16.36,2020Q3
1110,109,12,17.65,2020Q4
1110,110,3,16.16,2021Q1
1110,110,6,15.55,2021Q2
1110,110,9,20.54,2021Q3
1110,110,12,20.02,2021Q4
1110,111,3,20.71,2022Q1
1110,111,6,19.76,2022Q2
1110,111,9,18.15,2022Q3
1110,111,12,17.89,2022Q4
1110,112,3,17.73,2023Q1
1110,112,6,19.11,2023Q2
1110,112,9,18.86,2023Q3
1110,112,12,18.87,2023Q4
1110,113,3,17.83,2024Q1
1110,113,6,22.93,2024Q2
1110,113,9,22.0,2024Q3
1110,113,12,20.77,2024Q4
1110,114,3,19.18,2025Q1
1110,114,6,,2025Q2
1110,114,9,,2025Q3
1110,114,12,,2025Q4
1201,105,3,20.93,2016Q1
1201,105,6,21.3,2016Q2
1201,105,9,18.5,2016Q3
1201,105,12,17.69,2016Q4
1201,106,3,18.7,2017Q1
1201,106,6,18.95,2017Q2
1201,106,9,18.83,2017Q3
1201,106,12,20.26,2017Q4
1201,107,3,23.3,2018Q1
1201,107,6,24.12,2018Q2
1201,107,9,22.38,2018Q3
1201,107,12,22.85,2018Q4
1201,108,3,23.77,2019Q1
1201,108,6,32.79,2019Q2
1201,108,9,26.39,2019Q3
1201,108,12,24.73,2019Q4
1201,109,3,18.67,2020Q1
1201,109,6,22.68,2020Q2
1201,109,9,20.18,2020Q3
1201,109,12,21.77,2020Q4
1201,110,3,21.36,2021Q1
1201,110,6,21.67,2021Q2
1201,110,9,21.39,2021Q3
1201,110,12,22.09,2021Q4
1201,111,3,21.58,2022Q1
1201,111,6,20.57,2022Q2
